Id,Chinese,Pinyin,Pinyin_With_Tone,Japanese_Meaning,Hsk_Level
667,打扰,darao,dǎrǎo,邪魔する、迷惑をかける,4
668,打印,dayin,dǎyìn,印刷する,4
669,打折,dazhe,dǎzhé,割引する,4
670,打针,dazhen,dǎzhēn,注射をする,4
671,大概,dagai,dàgài,大体の、おおよその,4
672,大使馆,dashiguan,dàshǐguǎn,大使館,4
673,大约,dayue,dàyuē,大体、およそ,4
674,戴,dai,dài,着る,4
675,代表,daibiao,dàibiǎo,代表,4
676,代替,daiti,dàitì,代える、代わりをする,4
677,大夫,dafu,dàfū,医師,4
678,当,dang,dāng,〜になる、〜を務める。,4
679,当地,dangdi,dāngdì,地元,4
680,当时,dangshi,dāngshí,その時,4
681,刀,dao,dāo,ナイフ,4
682,导游,daoyou,dǎoyóu,ツアーガイド,4
683,到处,daochu,dàochù,至るところ、どこでも,4
684,到底,daodi,dàodǐ,とうとう、ついに,4
685,道歉,daoqian,dàoqiàn,わびる、おわびを言う,4
686,得意,deyi,déyì,得意になる、したり顔をする,4
689,底,di,dǐ,底・一番下,4
690,地球,diqiu,dìqiú,地球,4
691,地址,dizhi,dìzhǐ,住所,4
692,掉,diao,diào,落とす,4
693,调查,diaocha,diàochá,調査,4
694,丢,diu,diū,失くす、捨てる。,4
695,动作,dongzuo,dòngzuò,動作、アクション,4
696,堵车,duche,dǔchē,交通渋滞,4
697,肚子,duzi,dùzi,腹,4
698,断,duan,duàn,断つ,4
699,对,dui,duì,正しい,4
700,对话,duihua,duìhuà,対話,4
701,对面,duimian,duìmiàn,逆の,4
702,顿,dun,dùn,止まる,4
703,朵,duo,duǒ,(花の数を数える)量詞,4
704,而,er,ér,〜と,4
705,儿童,ertong,értóng,子供,4
706,发,fa,fā,出す・発する・配る,4
707,发生,fasheng,fāshēng,発生する,4
708,发展,fazhan,fāzhǎn,発展,4
709,法律,falu,fǎlǜ,法律,4
710,翻译,fanyi,fānyì,翻訳,4
711,烦恼,fannao,fánnǎo,思い悩む、思い煩う,4
712,反对,fandui,fǎnduì,反対,4
713,反应,fanying,fǎnyìng,反応,4
714,范围,fanwei,fànwéi,範囲,4
715,方法,fangfa,fāngfǎ,方法,4
716,方面,fangmian,fāngmiàn,方面、領域,4
717,方向,fangxiang,fāngxiàng,方向,4
718,访问,fangwen,fǎngwèn,訪れる,4
719,放弃,fangqi,fàngqì,諦める,4
720,放暑假,fangshujia,fàngshǔjià,夏休み,4
721,〜分之〜,fenzhi,〜fēnzhī〜,〜分の〜 (分数を表す),4
722,份,fen,fèn,〜人分の、〜人前の,4
723,丰富,fengfu,fēngfù,豊富,4
724,风景,fengjing,fēngjǐng,風景,4
725,否则,fouze,fǒuzé,さもなければ,4
726,符合,fuhe,fúhé,ぴったり合う、合致する,4
727,富,fu,fù,豊か,4
728,父亲,fuqin,fùqīn,お父さん,4
729,复印,fuyin,fùyìn,コピー,4
730,复杂,fuza,fùzá,複雑,4
731,负责,fuze,fùzé,責任を負う,4
732,改变,gaibian,gǎibiàn,変更する,4
733,干杯,ganbei,gānbēi,乾杯,4
734,干燥,ganzao,gānzào,乾燥,4
735,感動,gandong,gǎndòng,感動する,4
736,感觉,ganjue,gǎnjué,感じる,4
737,感情,ganqing,gǎnqíng,気持ち、感情,4
738,感谢,ganxie,gǎnxiè,感謝,4
739,干,gan,gàn,仕事をする・やる,4
740,刚刚,ganggang,gānggāng,ついさっき、たったいま,4
741,高级,gaoji,gāojí,高い、高級な,4
742,各,ge,gè,各,4
743,个子,gezi,gèzi,身長、背格好,4
744,公里,gongli,gōnglǐ,キロ、km,4
745,工具,gongju,gōngjù,工具,4
746,工资,gongzi,gōngzī,賃金,4
747,共同,gongtong,gòngtóng,共同の、共通の,4
748,够,gou,gòu,十分に,4
749,购物,gouwu,gòuwù,ショッピング,4
750,孤单,gudan,gūdān,孤独,4
751,估计,guji,gūjì,推量する、見積もる,4
752,鼓励,guli,gǔlì,激励する、励ます,4
753,鼓掌,guzhang,gǔzhǎng,拍手,4
754,顾客,guke,gùkè,顧客,4
755,故意,guyi,gùyì,わざと,4
756,挂,gua,guà,掛ける、つるす,4
757,关键,guanjian,guānjiàn,要、鍵,4
758,观众,guanzhong,guānzhòng,聴衆,4
759,管理,guanli,guǎnlǐ,管理,4
760,光,guang,guāng,光・〜だけ,4
761,广播,guangbo,guǎngbō,放送,4
762,广告,guanggao,guǎnggào,広告,4
763,逛,guang,guàng,ぶらぶら歩く,4
764,规定,guiding,guīdìng,規定,4
765,国际,guoji,guójì,国際,4
766,果然,guoran,guǒrán,案の定,4
767,过,guo,guò,～したことがある(経験),4
768,过程,guocheng,guòchéng,プロセス、過程,4
769,海洋,haiyang,hǎiyáng,海洋,4
770,害羞,haixiu,hàixiū,シャイ、恥ずかしがる,4
771,寒假,hanjia,hánjià,冬休み,4
772,汗,han,hàn,汗,4
773,航班,hangban,hángbān,フライト,4
774,好处,haochu,hǎochù,利益,4
775,好像,haoxiang,hǎoxiàng,～のような,4
776,号码,haoma,hàomǎ,番号,4
777,合格,hege,hégé,合格する,4
778,合适,heshi,héshì,適当である、ちょうどよい,4
779,盒子,hezi,hézi,箱,4
780,猴子,houzi,hóuzi,猿,4
781,厚,hou,hòu,厚い,4
782,后悔,houhui,hòuhuǐ,後悔,4
783,后来,houlai,hòulái,その後,4
784,忽然,huran,hūrán,突然,4
785,护士,hushi,hùshì,看護師,4
786,互相,huxiang,hùxiāng,互いに,4
787,怀疑,huaiyi,huáiyí,疑いを抱く、疑う,4
788,回忆,huiyi,huíyì,記憶,4
789,活动,huodong,huódòng,活動,4
790,活泼,huopo,huópō,活発,4
791,火,huo,huǒ,火,4
792,获得,huode,huòdé,獲得する、得る,4
793,基础,jichu,jīchǔ,基礎、土台,4
794,激动,jidong,jīdòng,興奮する、感動する,4
795,积极,jiji,jījí,積極的な、ポジティブな,4
796,积累,jilei,jīlěi,蓄積,4
797,极其,jiqi,jíqí,極めて,4
798,集合,jihe,jíhé,集合する、集まる,4
799,及时,jishi,jíshí,適時である,4
800,即使,jishi,jíshǐ,たとえ〜であっても,4
801,寄,ji,jì,送る,4
802,记者,jizhe,jìzhě,記者,4
803,计划,jihua,jìhuà,計画,4
804,既然,jiran,jìrán,〜するからには,4
805,技术,jishu,jìshù,技術、テクノロジー,4
806,继续,jixu,jìxù,継続する,4
807,家具,jiaju,jiājù,家具,4
808,加班,jiaban,jiābān,残業,4
809,加油站,jiayouzhan,jiāyóuzhàn,ガソリンスタンド,4
810,假,jia,jiǎ,偽物,4
811,价格,jiage,jiàgé,価格,4
812,坚持,jianchi,jiānchí,やり通す、堅持する,4
813,减肥,jianfei,jiǎnféi,ダイエットする,4
814,减少,jianshao,jiǎnshǎo,減少,4
815,将来,jianglai,jiānglái,将来,4
816,奖金,jiangjin,jiǎngjīn,ボーナス,4
817,降低,jiangdi,jiàngdī,下がる、低下する,4
818,交,jiao,jiāo,つきあう、交わる,4
819,交流,jiaoliu,jiāoliú,交流する、交換する,4
820,交通,jiaotong,jiāotōng,交通、トラフィック,4
821,骄傲,jiaoao,jiāo'ào,傲慢だ、鼻にかける。,4
822,饺子,jiaozi,jiǎozi,餃子,4
823,教授,jiaoshou,jiàoshòu,教授,4
824,教育,jiaoyu,jiàoyù,教育,4
825,接受,jieshou,jiēshòu,受け入れる、受け取る,4
826,结果,jieguo,jiéguǒ,結果,4
827,节约,jieyue,jiéyuē,節約する,4
828,解释,jieshi,jiěshì,説明する、解釈する,4
829,尽管,jinguan,jǐnguǎn,〜にもかかわらず,4
830,紧张,jinzhang,jǐnzhāng,緊張,4
831,进行,jinxing,jìnxíng,進行する、行なわれる,4
832,禁止,jinzhi,jìnzhǐ,禁止,4
833,精彩,jingcai,jīngcǎi,すばらしい、見事である,4
834,精神,jingshen,jīngshén,精神,4
835,经济,jingji,jīngjì,経済,4
836,经历,jingli,jīnglì,経歴,4
837,经验,jingyan,jīngyàn,経験,4
838,京剧,jingju,jīngjù,中国の劇,4
839,警察,jingcha,jǐngchá,警察,4
840,竟然,jingran,jìngrán,意外にも、なんと,4
841,竞争,jingzheng,jìngzhēng,競争,4
842,镜子,jingzi,jìngzi,鏡,4
843,究竟,jiujing,jiùjìng,結局のところ,4
844,举办,juban,jǔbàn,挙行する、開催する,4
845,拒绝,jujue,jùjué,拒絶,4
846,距离,juli,jùlí,距離,4
847,开玩笑,kaiwanxiao,kāiwánxiào,冗談を言う,4
848,看法,kanfa,kànfǎ,見方、見解,4
849,考虑,kaolu,kǎolǜ,考慮する、考える,4
850,棵,ke,kē,（植物を数える量詞）〜本、〜株。,4
851,科学,kexue,kēxué,科学,4
852,咳嗽,kesou,késòu,咳,4
853,可怜,kelian,kělián,哀れである、かわいそうである,4
854,可是,keshi,kěshì,しかし,4
855,可惜,kexi,kěxí,惜しい、残念である,4
856,肯定,kending,kěndìng,肯定する,4
857,空气,kongqi,kōngqì,空気,4
858,恐怕,kongpa,kǒngpà,おそらく,4
859,苦,ku,kǔ,苦い,4
860,宽,kuan,kuān,広い,4
861,困,kun,kùn,眠い,4
862,困难,kunnan,kùnnán,困難,4
863,扩大,kuoda,kuòdà,拡大する、広げる,4
864,拉,la,lā,引く,4
865,垃圾桶,lajiton,lājītǒn,ゴミ箱,4
866,辣,la,là,辛い,4
867,来不及,laibuji,láibují,間に合わない,4
868,来得及,laideji,láidéjí,間に合う,4
869,懒,lan,lǎn,怠惰である,4
870,浪费,langfei,làngfèi,浪費,4
871,浪漫,langman,làngmàn,浪漫,4
872,老虎,laohu,lǎohǔ,虎,4
873,冷静,lengjing,lěngjìng,冷静,4
874,理发,lifa,lǐfǎ,散髪する,4
875,理解,lijie,lǐjiě,理解,4
876,理想,lixiang,lǐxiǎng,理想的,4
877,礼貌,limao,lǐmào,礼儀,4
878,厉害,lihai,lìhài,すごい,4
879,力气,liqi,lìqì,力、体力,4
880,例如,liru,lìrú,例えば,4
881,俩,lia,liǎ,どちらも,4
882,连,lian,lián,つながる、連なる,4
883,联系,lianxi,liánxì,結びつく、関連する,4
884,凉快,liangkuai,liángkuai,涼しい,4
885,亮,liang,liàng,明るい,4
886,聊天,liaotian,liáotiān,話す,4
887,另外,lingwai,lìngwài,別の、ほかの,4
888,留,liu,liú,とどまる、引き止める,4
889,留学,liuxue,liúxué,留学,4
890,流泪,liulei,liúlèi,涙を流す,4
891,流利,liuli,liúlì,流暢,4
892,流行,liuxing,liúxíng,流行っている,4
893,乱,luan,luàn,秩序のない、乱れている,4
894,律师,lushi,lǜshī,弁護士,4
895,麻烦,mafan,máfan,煩わしい、面倒である,4
896,马虎,mahu,mǎhǔ,いい加減である、なおざりである,4
897,满,man,mǎn,満ちている、いっぱいである,4
898,毛巾,maojin,máojīn,タオル,4
899,美丽,meili,měilì,美しい,4
900,梦,meng,mèng,夢,4
901,密码,mima,mìmǎ,パスワード,4
902,免费,mianfei,miǎnfèi,費用を免除する、無料にする,4
903,民族,minzu,mínzú,民族,4
904,母亲,muqin,mǔqīn,母,4
905,目的,mudi,mùdì,目的,4
906,耐心,naixin,nàixīn,辛抱強い、我慢強い,4
907,难道,nandao,nándào,まさか〜ではあるまい,4
908,难受,nanshou,nánshòu,苦しい、つらい,4
909,内,nei,nèi,以内,4
910,内容,neirong,nèiróng,内容、コンテンツ,4
911,能力,nengli,nénglì,能力,4
912,年龄,nianling,niánlíng,年齢,4
913,农村,nongcun,nóngcūn,農村、田舎,4
914,弄,nong,nòng,いじる・やる,4
915,暖和,nuanhuo,nuǎnhuo,暖かい,4
916,偶尔,ouer,ǒu'ěr,時には,4
917,排列,pailie,páiliè,配列する,4
918,判断,panduan,pànduàn,判断する、断定する,4
919,陪,pei,péi,同伴する、付き添う,4
920,批评,piping,pīpíng,批判する,4
921,皮肤,pifu,pífū,皮膚,4
922,脾气,piqi,píqì,気性、性質,4
923,篇,pian,piān,編、篇,4
924,骗,pian,piàn,だます、欺く,4
925,乒乓球,pingpangqiu,pīngpāngqiú,卓球,4
926,平时,pingshi,píngshí,通常、いつも,4
927,瓶子,pingzi,píngzi,瓶、ボトル,4
928,破,po,pò,壊す,4
929,普遍,pubian,pǔbiàn,普遍的である,4
930,其次,qici,qícì,次、その次,4
931,其中,qizhong,qízhōng,その中,4
932,起飞,qifei,qǐfēi,離陸,4
933,起来,qilai,qǐlái,起き上がる、起きて座る,4
934,气候,qihou,qìhòu,気候,4
935,千万,qianwan,qiānwàn,ぜひ、きっと,4
936,签证,qianzheng,qiānzhèng,査証、ビザ,4
937,墙,qiang,qiáng,壁,4
938,敲,qiao,qiāo,たたいて音を出す,4
939,桥,qiao,qiáo,橋,4
940,巧克力,qiaokeli,qiǎokèlì,チョコレート,4
941,亲戚,qinqi,qīnqī,親戚、親類,4
942,轻,qing,qīng,軽い,4
943,轻松,qingsong,qīngsōng,リラックス,4
944,情况,qingkuang,qíngkuàng,状況、事態,4
945,请假,qingjia,qǐngjià,休暇をもらう、休みを取る,4
946,请客,qingke,qǐngkè,招く、誘う、おごる,4
947,穷,qiong,qióng,貧しい、貧乏である,4
948,区别,qubie,qūbié,区別する、見分ける,4
949,取,qu,qǔ,取る、取って来る,4
950,全部,quanbu,quánbù,完成、全部,4
951,缺点,quedian,quēdiǎn,欠点、短所,4
952,欠缺,queshuai,quēquē,欠ける、不足する,4
953,却,que,què,退く、後退する,4
954,确实,queshi,quèshí,確実である、確かである,4
955,群,qun,qún,群れ、群,4
956,然而,raner,rán'ér,但し,4
957,热闹,renao,rènào,にぎやかである,4
958,人民币,renminbi,rénmínbì,人民元,4
959,任何,renhe,rènhé,いかなる、どのような,4
960,任务,renwu,rènwù,任務,4
961,扔,reng,rēng,投げる、ほうる,4
962,仍然,rengran,réngrán,依然として、あいかわらず,4
963,日记,riji,rìjì,日記,4
964,入口,rukou,rùkǒu,入口,4
965,软,ruan,ruǎn,軟らかい,4
966,散步,sanbu,sànbù,散歩する,4
967,森林,senlin,sēnlín,森,4
968,沙发,shafa,shāfā,ソファ,4
969,商量,shangliang,shāngliáng,話し合う、相談する,4
970,伤心,shangxin,shāngxīn,心を傷つける、悲しい,4
971,稍微,shaowei,shāowéi,少し、ちょっと,4
972,社会,shehui,shèhuì,社会,4
973,深,shen,shēn,深い,4
974,申请,shenqing,shēnqǐng,申請する,4
975,甚至,shenzhi,shènzhì,〜さえ、〜すら,4
976,生活,shenghuo,shēnghuó,生活,4
977,生命,shengming,shēngmìng,生命,4
978,省,sheng,shěng,節約する、省,4
979,剩,sheng,shèng,残る、余る,4
980,失败,shibai,shībài,敗れる、負ける,4
981,失望,shiwang,shīwàng,失望した,4
982,师傅,shifu,shīfù,師匠、親方,4
983,湿润,shirun,shīrùn,湿って潤いがある,4
984,狮子,shizi,shīzi,獅子、ライオン,4
985,十分,shifen,shífēn,十分,4
986,实际,shiji,shíjì,実際,4
987,实在,shizai,shízài,本当に、全く,4
988,食品,shipin,shípǐn,食品,4
989,使用,shiyong,shǐyòng,使う,4
990,试,shi,shì,試す,4
991,市场,shichang,shìchǎng,市場,4
992,适合,shihe,shìhé,適する,4
993,适应,shiying,shìyìng,適応する、相応,4
994,世纪,shiji,shìjì,世紀,4
995,收,shou,shōu,集める、収める,4
996,收入,shouru,shōurù,収入,4
997,收拾,shoushi,shōushí,片づける、整理する,4
998,首都,shoudu,shǒudū,首都,4
999,首先,shouxian,shǒuxiān,最初に、真っ先に,4
1000,受不了,shoubuliao,shòubùliǎo,耐えられない,4
1001,受到,shoudao,shòudào,受ける、被る,4
1002,售货员,shouhuoyuan,shòuhuòyuán,売り子、店員,4
1003,输,shu,shū,負ける、敗れる,4
1004,熟悉,shuxi,shúxī,よく知っている、熟知している,4
1005,数量,shuliang,shùliàng,数量,4
1006,数字,shuzi,shùzì,数字、デジタル,4
1007,帅,shuai,shuài,カッコいい,4
1008,顺便,shunbian,shùnbiàn,ついでに,4
1009,顺利,shunli,shùnlì,うまく進む、支障がない,4
1010,顺序,shunxu,shùnxù,順序、順番．,4
1011,说明,shuoming,shuōmíng,説明,4
1012,硕士,shuoshi,shuòshì,修士号,4
1013,死,si,sǐ,死ぬ,4
1014,速度,sudu,sùdù,速度、スピード,4
1015,塑料袋,suliaodai,sùliàodài,ビニール袋,4
1016,酸,suan,suān,酸っぱい,4
1017,算,suan,suàn,計算する、勘定する,4
1018,随便,suibian,suíbiàn,都合のよいようにする,4
1019,随着,suizhe,suízhe,つれて、従って,4
1020,孙子,sunzi,sūnzi,孫,4
1021,所有,suoyou,suǒyǒu,全て,4
1022,台,tai,tái,台(量詞),4
1023,抬,tai,tái,持ち上げる、担ぐ,4
1024,态度,taidu,tàidù,態度,4
1025,谈,tan,tán,話す,4
1026,弹钢琴,dangangqin,dàngāngqín,ピアノを弾く,4
1027,汤,tang,tāng,スープ,4
1028,趟,tang,tàng,往復する回数を数える量詞,4
1029,躺,tang,tǎng,横たわる、横になる,4
1030,讨论,taolun,tǎolùn,討論する,4
1031,讨厌,taoyan,tǎoyàn,嫌い,4
1032,特点,tedian,tèdiǎn,特色、特徴,4
1033,提供,tigong,tígōng,提供,4
1034,提前,tiqian,tíqián,繰り上げる,4
1035,提醒,tixing,tíxǐng,注意を促す,4
1036,填空,tiankong,tiánkòng,空欄に記入する,4
1037,条件,tiaojian,tiáojiàn,条件,4
1038,停止,tingzhi,tíngzhǐ,停止する,4
1039,挺,ting,tǐng,非常に、とても,4
1040,通过,tongguo,tōngguò,によって,4
1041,通知,tongzhi,tōngzhī,お知らせ、通知,4
1042,同情,tongqing,tóngqíng,同情,4
1043,推,tui,tuī,押す,4
1044,推迟,tuichi,tuīchí,遅らせる、延ばす,4
1045,脱,tuo,tuō,脱ぐ,4
1046,袜子,wazi,wàzi,靴下,4
1047,完全,wanquan,wánquán,完全である,4
1048,往,wang,wǎng,〜へ,4
1049,往往,wangwang,wǎngwǎng,往々にして、しばしば,4
1050,网球,wangqiu,wǎngqiú,テニス,4
1051,网站,wangzhan,wǎngzhàn,ウェブサイト,4
1052,危险,weixian,wéixiǎn,危険な,4
1053,味道,weidao,wèidào,味,4
1054,温度,wendu,wēndù,温度,4
1055,文章,wenzhang,wénzhāng,記事、文章,4
1056,握手,woshou,wòshǒu,握手,4
1057,污染,wuran,wūrǎn,汚染,4
1058,无,wu,wú,無い,4
1059,无聊,wuliao,wúliáo,退屈である、つまらない,4
1060,无论,wulun,wúlùn,かかわらず、どんなであっても,4
1061,误会,wuhui,wùhuì,誤解,4
1062,西红柿,xihongshi,xīhóngshì,トマト,4
1063,吸引,xiyin,xīyǐn,吸い寄せる、引きつける．,4
1064,洗衣机,xiyiji,xǐyījī,洗濯機,4
1065,咸,xian,xián,塩味,4
1066,现代,xiandai,xiàndài,近代的、現代,4
1067,羡慕,xianmu,xiànmù,羨ましい,4
1068,限制,xianzhi,xiànzhì,制限する,4
1069,香,xiang,xiāng,香り,4
1070,相反,xiangfan,xiāngfǎn,反して,4
1071,详细,xiangxi,xiángxì,詳細,4
1072,响,xiang,xiǎng,音がする、鳴る,4
1073,消息,xiaoxi,xiāoxī,ニュース、報道,4
1074,小说,xiaoshuo,xiǎoshuō,小説,4
1075,笑话,xiaohua,xiàohuà,冗談、笑い話,4
1076,效果,xiaoguo,xiàoguǒ,効果、結果,4
1077,辛苦,xinku,xīnkǔ,苦しい、つらい,4
1078,心情,xinqing,xīnqíng,気持ち、気分,4
1079,信任,xinren,xìnrèn,信頼する,4
1080,信心,xinxin,xìnxīn,自信、信念,4
1081,信用卡,xinyongka,xìnyòngkǎ,クレジットカード,4
1082,兴奋,xingfen,xīngfèn,興奮する,4
1083,行,xing,xíng,いいですよ、OK。,4
1084,醒,xing,xǐng,覚める,4
1085,性别,xingbie,xìngbié,性別,4
1086,性格,xingge,xìnggé,性格,4
1087,幸福,xingfu,xìngfú,幸せ,4
1088,修,xiu,xiū,直す,4
1089,许多,xuduo,xǔduō,多くの,4
1090,血,xue,xuè,血液,4
1091,压力,yali,yālì,圧力,4
1092,牙膏,yagao,yágāo,歯磨,4
1093,亚洲,yazhou,yàzhōu,アジア,4
1094,呀,ya,ya,うん,4
1095,盐,yan,yán,塩,4
1096,严格,yange,yángé,たいへん厳しい、厳格である,4
1097,严重,yanzhong,yánzhòng,重大である、深刻である,4
1098,研究生,yanjiusheng,yánjiūshēng,大学院生．,4
1099,演出,yanchu,yǎnchū,演出,4
1100,演员,yanyuan,yǎnyuán,俳優,4
1101,阳光,yangguang,yángguāng,日光,4
1102,养成,yangcheng,yǎngchéng,作り上げる、身につける,4
1103,样子,yangzi,yàngzi,様子,4
1104,邀请,yaoqing,yāoqǐng,招く、招待する．,4
1105,钥匙,yaoshi,yàoshi,鍵,4
1106,也许,yexu,yěxǔ,あるいは〜かもしれない,4
1107,页,ye,yè,ページ,4
1108,叶子,yezi,yèzi,葉,4
1109,一切,yiqie,yīqiè,すべて,4
1110,以,yi,yǐ,によって,4
1111,亿,yi,yì,一億,4
1112,意见,yijian,yìjiàn,意見,4
1113,艺术,yishu,yìshù,アート、芸術,4
1114,因此,yinci,yīncǐ,それだからこそ,4
1115,饮料,yinliao,yǐnliào,飲物,4
1116,引起,yinqi,yǐnqǐ,引き起こす,4
1117,印象,yinxiang,yìnxiàng,印象,4
1118,赢,ying,yíng,勝利,4
1119,硬,ying,yìng,硬い,4
1120,勇敢,yonggan,yǒnggǎn,勇敢,4
1121,永远,yongyuan,yǒngyuǎn,永久に,4
1122,优点,youdian,yōudiǎn,長所、メリット,4
1123,优秀,youxiu,yōuxiù,優秀,4
1124,幽默,youmo,yōumò,ユーモア,4
1125,由,you,yóu,によって、理由,4
1126,由于,youyu,yóuyú,〜によって、〜のために,4
1127,尤其,youqi,yóuqí,とりわけ、殊に,4
1128,有趣,youqu,yǒuqù,面白い,4
1129,友好,youhao,yǒuhǎo,友好的である,4
1130,友谊,youyi,yǒuyì,友情,4
1131,愉快,yukuai,yúkuài,愉快である、心楽しい,4
1132,于是,yushi,yúshì,それから,4
1133,与,yu,yǔ,と,4
1134,语法,yufa,yǔfǎ,文法、語法,4
1135,语言,yuyan,yǔyán,言語,4
1136,羽毛球,yumaoqiu,yǔmáoqiú,バドミントン,4
1137,预习,yuxi,yùxí,予習する,4
1138,圆,yuan,yuán,円い、円形である,4
1139,原来,yuanlai,yuánlái,元々,4
1140,原谅,yuanliang,yuánliàng,許す,4
1141,原因,yuanyin,yuányīn,原因、理由,4
1142,约会,yuehui,yuēhuì,会う約束をする．,4
1143,阅读,yuedu,yuèdú,閲読する、読む,4
1144,允许,yunxu,yǔnxǔ,許す、認める,4
1145,杂志,zazhi,zázhì,雑誌,4
1146,咱们,zanmen,zánmen,我々,4
1147,暂时,zhanshi,zhànshí,一時、しばらく,4
1148,脏,zang,zàng,汚い,4
1149,责任,zeren,zérèn,責任,4
1150,增加,zengjia,zēngjiā,増加する,4
1151,增长,zengzhang,zēngzhǎng,増える,4
1152,窄,zhai,zhǎi,狭い,4
1153,招聘,zhaopin,zhāopìn,募集する、招く,4
1154,真正,zhenzheng,zhēnzhèng,本当の、真の,4
1155,整理,zhengli,zhěnglǐ,整理する、整頓,4
1156,整齐,zhengqi,zhěngqí,秩序がある、秩序正しい,4
1157,正常,zhengchang,zhèngcháng,正常である,4
1158,正好,zhenghao,zhènghǎo,ちょうどよい,4
1159,正确,zhengque,zhèngquè,正確,4
1160,正式,zhengshi,zhèngshì,正式の、公式の,4
1161,证明,zhengming,zhèngmíng,証明する,4
1162,之,zhi,zhī,〜の（文語表現）。,4
1163,只,zhi,zhǐ,単独の、たった一つの,4
1164,支持,zhichi,zhīchí,支持する、支援する,4
1165,知识,zhishi,zhīshì,知識,4
1166,值得,zhide,zhídé,値段に見合う、割に合う,4
1167,直接,zhijie,zhíjiē,直接的である,4
1168,植物,zhiwu,zhíwù,植物,4
1169,职业,zhiye,zhíyè,職業,4
1170,指,zhi,zhǐ,指,4
1171,只好,zhihao,zhǐhǎo,やむなく、やむをえず,4
1172,只要,zhiyao,zhǐyào,〜しさえすれば,4
1173,质量,zhiliang,zhìliàng,品質,4
1174,至少,zhishao,zhìshǎo,少なくとも,4
1175,制造,zhizao,zhìzào,製造する、作る,4
1176,中文,zhongwen,zhōngwén,中国語,4
1177,重点,zhongdian,zhòngdiǎn,重要な、重点的な,4
1178,重视,zhongshi,zhòngshì,重視する,4
1179,周围,zhouwei,zhōuwéi,周りに,4
1180,猪,zhu,zhū,豚,4
1181,逐渐,zhujian,zhújiàn,次第に、だんだん,4
1182,主动,zhudong,zhǔdòng,主体的である,4
1183,主意,zhuyi,zhǔyì,考え,4
1184,祝贺,zhuhe,zhùhè,祝う,4
1185,著名,zhuming,zhùmíng,著名である,4
1186,专门,zhuanmen,zhuānmén,専門,4
1187,专业,zhuanye,zhuānyè,専攻,4
1188,赚,zhuan,zhuàn,もうける,4
1189,撞,zhuang,zhuàng,ぶつかる,4
1190,准确,zhunque,zhǔnquè,精度が高い,4
1191,准时,zhunshi,zhǔnshí,時間が正確である,4
1192,仔细,zixi,zǐxì,注意深い、こまやかである,4
1193,自然,ziran,zìrán,自然に,4
1194,总结,zongjie,zǒngjié,概要、まとめる,4
1195,租,zu,zū,借りる、レンタルする。,4
1196,组成,zucheng,zǔchéng,組み合わせる、構成する,4
1197,组织,zuzhi,zǔzhī,組織,4
1198,嘴,zui,zuǐ,口,4
1199,最好,zuihao,zuì hǎo,最高,4
1200,最后,zuihou,zuìhòu,遂に,4
1201,尊重,zunzhong,zūnzhòng,尊敬,4
1202,生意,shengyi,shēngyì,ビジネス,4
1203,座,zuo,zuò,座る,4
1204,座位,zuowei,zuòwèi,座席,4
1205,作者,zuozhe,zuòzhě,著者、作者,4
